127.0.0.1 - - [22/Jun/2022:18:36:07 +1000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13351
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/images/arrival-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13351
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:36:08 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13351
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:03 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13351
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:04 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13351
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:04 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13351
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "POST /TempelateIntegrationProject/UserController HTTP/1.1" 200 50897
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/p1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/slider-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/p4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/p5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/p2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/p3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/p6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/p7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/p10.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:37:26 +1000] "GET /TempelateIntegrationProject/images/p9.png HTTP/1.1" 304 -
